time_s,ax_mps2,ay_mps2
0,0.0,0.015
1,-3.2006000812228775e-05,0.012650505736455405
2,-6.353843112425114e-05,0.012494736286837565
3,-9.422906892852721e-05,0.012341199242827719
4,-0.0001241528738727755,0.012189580483435271
5,-0.00015337469405134394,0.012039607946422603
6,-0.00018195044319959698,0.01189104614999546
7,-0.00020992839445220906,0.011743691415716795
8,-0.00023735018725728064,0.01159736770502237
9,-0.0002642516437268391,0.011451922990227842
10,-0.00029066355496074503,0.011307226092358458
11,-0.00031661238866928694,0.011163163929522248
12,-0.0003421209160333923,0.011019639120574073
13,-0.0003672086072765719,0.010876567895595915
14,-0.0003918921407826819,0.010733878280616447
15,-0.00041618579877760484,0.010591508519895517
16,-0.00044010168896813795,0.010449405694080042
17,-0.00046365025535524565,0.010307524539510551
18,-0.0004868402485320958,0.010165826393580414
19,-0.0005096791662345604,0.010024278305506382
20,-0.000532173316559829,0.00988285224756279
21,-0.0005543280451898729,0.009741524435056333
22,-0.0005761478419238244,0.009600274738710843
23,-0.000597636416685985,0.009459086171219966
24,-0.0006187969370157064,0.009317944447098596
25,-0.0006396319943434192,0.009176837598399556
26,-0.0006601436984593159,0.009035755637455267
27,-0.0006803338083849162,0.008894690278010289
28,-0.0007002038003349175,0.008753634686596946
29,-0.0007197547639135487,0.008612583258021654
30,-0.0007389876726788185,0.008471531443846256
31,-0.0007579032191786003,0.00833047558323446
32,-0.0007765019344882291,0.008189412768722372
33,-0.0007947842745626396,0.008048340733858867
34,-0.0008127504662616216,0.007907257738488816
35,-0.0008304007561722298,0.007766162500000043
36,-0.0008477352474341335,0.007625054101985174
37,-0.0008647539919992345,0.007483931941871518
38,-0.0008814569536275543,0.007342795668029847
39,-0.0008978441452750046,0.007201645144330579
40,-0.0009139154604713159,0.0070604803969210785
41,-0.0009296707980569823,0.006919301598245902
42,-0.0009451100616819652,0.006778109020234478
43,-0.0009602330641493961,0.006636903021704568
44,-0.0009750396668930505,0.0064956840247646815
45,-0.00098952974136667,0.006354452503791075
46,-0.0010037031021910355,0.006213208959535198
47,-0.0010175595923575492,0.00607195391786856
48,-0.0010310990403432157,0.005930687918260039
49,-0.001044321318625981,0.005789411506322221
50,-0.0010572262330630169,0.005648125219110861
51,-0.0010698136286442562,0.005506829593546617
52,-0.0010820833823208579,0.005365525154421737
53,-0.0010940353222232062,0.005224212410477742
54,-0.0011056693402411418,0.0050828918540300255
55,-0.0011169853137599675,0.004941563965313154
56,-0.0011279831192803188,0.004800229196981689
57,-0.0011386626133474075,0.004658887987485293
58,-0.001149023675290341,0.004517540748194293
59,-0.001159066201995577,0.004376187878595193
60,-0.001168790124918223,0.004234829750404612
61,-0.001178195318715138,0.004093466718292999
62,-0.0011872817071431026,0.003952099117396943
63,-0.0011960492166723426,0.003810727260646838
64,-0.00120449772969841,0.0036693514426770334
65,-0.0012126271876719567,0.0035279719413970757
66,-0.0012204375515728573,0.0033865890224745662
67,-0.0012279286975690833,0.003245202921451035
68,-0.001235100629114652,0.0031038138738951203
69,-0.0012419532575507234,0.002962422091194985
70,-0.0012484865333349875,0.0028210277722315632
71,-0.0012547004391745048,0.002679631103632825
72,-0.0012605948725996831,0.0025382322567541584
73,-0.0012661698600240196,0.0023968313954271644
74,-0.0012714252990264872,0.002255428666914776
75,-0.0012763612090251765,0.0021140242131163357
76,-0.0012809775127045626,0.0019726181581870873
77,-0.0012852741858610784,0.0018312106284123681
78,-0.0012892512030170692,0.0016898017349769737
79,-0.001292908566605126,0.0015483915788804647
80,-0.001296246218008747,0.0014069802581708779
81,-0.0012992641454408866,0.001265567860097296
82,-0.001301962328128811,0.0011241544716903721
83,-0.0013043407046073325,0.0009827401603911135
84,-0.0013063992919455278,0.0008413249999088783
85,-0.0013081380972138842,0.0006999090634053806
86,-0.001309557085379093,0.0005584924066910829
87,-0.0013106562442715044,0.00041707508566696374
88,-0.0013114355537636052,0.00027565715198160786
89,-0.0013118949889599052,0.00013423865356947695
90,-0.001312034579651061,-7.180366448398572e-06
91,-0.00131185426903016,-0.0001485998644899274
92,-0.0013113540750423348,-0.0002900198073038174
93,-0.001310533990664093,-0.00043144015320819077
94,-0.0013093939928236786,-0.0005728608704237407
95,-0.0013079340763405315,-0.0007142819390957582
96,-0.0013061542580149485,-0.000855703320917586
97,-0.0013040544661876987,-0.000997124998399596
98,-0.0013016347542620667,-0.0011385469444214651
99,-0.001298895091382241,-0.0012799691340850971
100,-0.0012958355320017837,-0.0014213915475304525
101,-0.0012924560037176128,-0.001562814168238997
102,-0.001288756531693323,-0.001704236980181164
103,-0.0012847370818682205,-0.0018456599748161962
104,-0.0012803976288835045,-0.0019870831339589713
105,-0.0012757382058569539,-0.002128506445076748
106,-0.0012707588553206833,-0.0022699298863413982
107,-0.0012654595388551858,-0.0024113534491191553
108,-0.001259840230153917,-0.002552777130116216
109,-0.0012539009235725987,-0.0026942009223087783
110,-0.0012476416499110532,-0.0028356248085724504
111,-0.0012410623988694475,-0.0029770487778983633
112,-0.0012341631680973808,-0.0031184728269750884
113,-0.0012269439718156116,-0.0032598969483233196
114,-0.001219404757530907,-0.0034013211428778707
115,-0.0012115455600224044,-0.003542745397013138
116,-0.0012033663957917728,-0.0036841697052833956
117,-0.0011948671940143424,-0.003825594070731338
118,-0.0011860480305235187,-0.003967018479263299
119,-0.0011769088603156748,-0.004108442930511394
120,-0.0011674497022953925,-0.004249867418523028
121,-0.0011576705557641458,-0.004391291941821493
122,-0.001147571434465822,-0.004532716494350193
123,-0.001137152292979063,-0.004674141080187729
124,-0.001126413143049871,-0.004815565693481569
125,-0.0011153539995392996,-0.004956990326867258
126,-0.0011039748370172907,-0.005098414984363387
127,-0.001092275701890949,-0.005239839655620191
128,-0.0010802565446476821,-0.005381264346508671
129,-0.0010679173908764764,-0.005522689054109681
130,-0.0010552582631497731,-0.005664113771114833
131,-0.001042279112536727,-0.005805538503370893
132,-0.0010289799742267487,-0.005946963242483028
133,-0.0010153607983397778,-0.006088387999466018
134,-0.0010014216250768967,-0.00622981276242233
135,-0.0009871624797063619,-0.006371237526754982
136,-0.0009725832958835998,-0.006512662301394638
137,-0.0009576841306859353,-0.006654087075798906
138,-0.0009424649694241647,-0.006795511854111123
139,-0.0009269257889720271,-0.006936936639604887
140,-0.0009110666170823059,-0.007078361420746429
141,-0.0008948874112808388,-0.007219786216353464
142,-0.0008783882161308598,-0.0073612110075084855
143,-0.0008615690088485016,-0.007502635798467956
144,-0.0008444298070834314,-0.007644060588896888
145,-0.0008269706343391585,-0.00778548536656321
146,-0.0008091914180052135,-0.007926910152411702
147,-0.0007910922011756552,-0.008068334941316764
148,-0.0007726729754116969,-0.008209759724368442
149,-0.0007539337352866458,-0.008351184500712861
150,-0.0007348744844402294,-0.008492609288798834
151,-0.0007154952651193904,-0.00863403406516962
152,-0.0006957960262056244,-0.00877545884420325
153,-0.000675776768217341,-0.008916883617026777
154,-0.0006554375150283717,-0.009058308380503836
155,-0.0006347782660616709,-0.009199733144251156
156,-0.0006137989924976824,-0.00934115790414936
157,-0.0005924997152412405,-0.00948258265465953
158,-0.0005708804094993854,-0.009624007408954189
159,-0.0005489411139723003,-0.00976543215498393
160,-0.000526681826163711,-0.009906856898605095
161,-0.0005041025566467458,-0.010048281625992703
162,-0.0004812032543847035,-0.010189706355447874
163,-0.0004579839572793483,-0.01033113108296699
164,-0.00043444463023701273,-0.010472555804574457
165,-0.00041058529241939993,-0.01061398052767847
166,-0.000386405966413761,-0.010755405239342469
167,-0.00036190664166457613,-0.010896829942425135
168,-0.0003370873036014616,-0.011038254643335138
169,-0.0003119479731703435,-0.011179679332412458
170,-0.0002864886456202934,-0.011321104020730778
171,-0.0002607093133203206,-0.011462528706393374
172,-0.00023460994346276567,-0.01160395338125955
173,-0.0002081905606309928,-0.011745378055368193
174,-0.00018145116844240174,-0.011886802729976081
175,-0.00015439179407413783,-0.012028227385167883
176,-0.00012701238886516516,-0.012169652048685514
177,-9.931300001284956e-05,-0.01231107669590396
178,-7.129360270914744e-05,-0.012452501337269896
179,-4.295417986491371e-05,-0.012593925979888693
180,-1.4294769460186396e-05,-0.012735350612343639
181,1.4520367820100883e-05,-7.074734867502577e-05
182,1.1894209429285378e-05,-5.6334183499975644e-05
183,9.65870168347224e-06,-4.416867691534268e-05
184,7.760361440504547e-06,-3.393413372941721e-05
185,6.152722092060878e-06,-2.5356307429788423e-05
186,4.795442223735874e-06,-1.8197866998959593e-05
187,3.6534896061396804e-06,-1.225358976822105e-05
188,2.6965341186157343e-06,-7.346117213814747e-06
189,1.8982261352980621e-06,-3.322320052728023e-06
190,1.2357624373251843e-06,-5.008848527322104e-08
191,6.893718096095556e-07,2.5844278773278784e-06
192,2.4204528906333026e-07,4.679257744071673e-06
193,-1.209616929983189e-07,6.318702593937587e-06
194,-4.1242552339237775e-07,7.575188395804297e-06
195,-6.432795757098213e-07,8.510833421778398e-06
196,-8.230069905545796e-07,9.178869761290378e-06
197,-9.596936914037192e-07,9.624805503264646e-06
198,-1.0603484371705478e-06,9.887491955240116e-06
199,-1.1309454644209445e-06,1.000004052733585e-05
200,-1.1766004418313005e-06,9.990612527532917e-06
201,-1.2017023967917732e-06,9.883100388927047e-06
202,-1.2099687103342911e-06,9.697690946457898e-06
203,-1.204591995655727e-06,9.451450088511623e-06
204,-1.188311530834201e-06,9.158708707015705e-06
205,-1.1633558145159042e-06,8.831455000729555e-06
206,-1.131646020114279e-06,8.47968990435962e-06
207,-1.094833780117094e-06,8.111715889865662e-06
208,-1.054244218546114e-06,7.734372688053992e-06
209,-1.011051465294431e-06,7.3532692838926194e-06
210,-9.661732601742058e-07,6.972950851031184e-06
211,-9.203660938060532e-07,6.597051324632074e-06
212,-8.742921480235137e-07,6.228484991609962e-06
