time_s,ax_mps2,ay_mps2
0,0.019999999999980003,0.0
1,0.0013233454289621662,0.00740684040970079
2,0.0012890140765305577,0.0073194251010071315
3,0.0012553961386163122,0.007233222847432351
4,0.0012224158854311253,0.007148058536807296
5,0.0011900078283117975,0.0070637804870474835
6,0.0011581153747515019,0.00698025739560252
7,0.0011266896571725804,0.006897375679784521
8,0.0010956885132179955,0.0068150371583582245
9,0.0010650755981650721,0.006733157031059901
10,0.0010348196125309307,0.006651662118175071
11,0.001004893630094463,0.006570489327075437
12,0.0009752745134414618,0.0064895843168185025
13,0.0009459424057823789,0.006408900335544145
14,0.0009168802892268014,0.006328397208615815
15,0.0008880736009515066,0.006248040458236027
16,0.000859509899792414,0.00616780053771436
17,0.0008311785767456016,0.006087652165690567
18,0.0008030706036957172,0.006007573747490092
19,0.0007751783154181574,0.005927546872410821
20,0.0007474952205350027,0.005847555877164392
21,0.000720015837660469,0.005767587466949235
22,0.0006927355534536851,0.005687630386700951
23,0.0006656504997192674,0.005607675136030366
24,0.0006387574470641905,0.00552771372218766
25,0.0006120537129402568,0.005447739446099955
26,0.0005855370821818021,0.0053677467171853776
27,0.0005592057383925859,0.005287730893177828
28,0.000533058204748739,0.005207688141697765
29,0.0005070932929702896,0.005127615320701242
30,0.0004813100593762089,0.0050475098753373394
31,0.00045570776707837426,0.004967369749034528
32,0.00043028585349384285,0.004887193306938382
33,0.00040504390246053133,0.0048069792700561
34,0.00037998162033721724,0.004726726658682179
35,0.0003550988155470117,0.004646434743854527
36,0.00033039538109745577,0.0045661030057706975
37,0.0003058712796699317,0.004485731098215899
38,0.0002815265309254585,0.004405318818189842
39,0.00025736120072154475,0.00432486608002126
40,0.00023337539197355742,0.004244372893356139
41,0.00020956923693167095,0.004163839344483857
42,0.00018594289067331204,0.004083265580535869
43,0.00016249652563957097,0.004002651796155315
44,0.00013923032706512808,0.003921998222290918
45,0.00011614448917392879,0.003841305116814392
46,9.323921202827662e-05,0.003760572756691886
47,7.05146989356223e-05,0.003679801431497517
48,4.797115432972809e-05,0.0035989914380584265
49,2.560878205487918e-05,0.003518143076075568
50,3.42778399142654e-06,0.0034372566445679572
51,-1.8571641029958277e-05,0.0033563324390157292
52,-4.038929807171482e-05,0.0032753707490973563
53,-6.202499672812401e-05,0.003194371856924585
54,-8.347855159438204e-05,0.003113336035696915
55,-0.0001047497825933185,0.0030322635487084718
56,-0.00012583851518516826,0.002951154648646812
57,-0.0001467445804803588,0.0028700095771342247
58,-0.00016746781527405364,0.002788828564469296
59,-0.00018800806201661063,0.0027076118295321725
60,-0.00020836516873315593,0.002626359579822142
61,-0.00022853898890304048,0.002545072011601866
62,-0.00024852938130817524,0.002463749310125858
63,-0.0002683362098577072,0.0023823916499338756
64,-0.00028795934339568587,0.0023009991951950326
65,-0.0003073986554968181,0.0022195721000888504
66,-0.00032665402425461807,0.002138110509209596
67,-0.00034572533206584516,0.002056614557990176
68,-0.00036461246541376156,0.0019750843731347165
69,-0.00038331531465285977,0.0018935200730517152
70,-0.0004018337737968307,0.0018119217682893132
71,-0.000420167740311302,0.001730289561960543
72,-0.000438317114912479,0.0016486235501630433
73,-0.00045628180137264094,0.0015669238223856771
74,-0.0004740617063328162,0.0014851904619013778
75,-0.0004916567391235235,0.001403423546147002
76,-0.0005090668115935208,0.0013216231470874174
77,-0.0005262918379466753,0.0012397893315611898
78,-0.0005433317345873059,0.0011579221616123286
79,-0.0005601864199735209,0.0010760216948058538
80,-0.0005768558144787061,0.000994087984523092
81,-0.0005933398402609218,0.0009121210802451973
82,-0.0006096384211398898,0.0008301210278184817
83,-0.0006257514824814092,0.0007480878697044605
84,-0.0006416789510888236,0.0006660216452143354
85,-0.0006574207551012461,0.0005839223907319149
86,-0.000672976823898492,0.0005017901399191691
87,-0.0006883470880118675,0.00041962492390994
88,-0.0007035314790410738,0.00033742677149263057
89,-0.0007185299295766044,0.00025519570927903747
90,-0.0007333423731272339,0.00017293176186271785
91,-0.0007479687440527354,9.063495196618673e-05
92,-0.0007624089775009453,8.305300578987301e-06
93,-0.0007766630093494227,-7.405717291477797e-05
94,-0.0007907307761511062,-0.00015645245061700474
95,-0.0008046122150838596,-0.000238880516004756
96,-0.0008183072639036081,-0.0003213413538281514
97,-0.0008318158609008411,-0.0004038349500133881
98,-0.0008451379448601877,-0.0004863612915756396
99,-0.0008582734550231326,-0.0005689203665349107
100,-0.0008712223310532039,-0.0006515121638414503
101,-0.000883984513003873,-0.0007341366733044725
102,-0.000896559941288844,-0.000816793885525871
103,-0.0009089485566544389,-0.0008994837918408713
104,-0.0009211503001540582,-0.0009822063842608666
105,-0.0009331651131247269,-0.0010649616554209546
106,-0.0009449929371651007,-0.0011477495985335244
107,-0.0009566337141153808,-0.0012305702073427407
108,-0.0009680873860385979,-0.001313423476082928
109,-0.00097935389520348,-0.0013963093994415346
110,-0.0009904331840683341,-0.0014792279725238122
111,-0.001001325195266473,-0.0015621791908193208
112,-0.0010120298715926017,-0.0016451630501734269
113,-0.0010225471559901496,-0.0017281795467589032
114,-0.0010328769915398275,-0.0018112286770495677
115,-0.0010430193214487128,-0.0018943104377990188
116,-0.0010529740890407309,-0.0019774248260163393
117,-0.0010627412377470235,-0.0020605718389469356
118,-0.0010723207110981117,-0.002143751474054209
119,-0.0010817124527156574,-0.0022269637290029277
120,-0.0010909164063055655,-0.002310208601641843
121,-0.0010999325156512852,-0.0023934860899909077
122,-0.001108760724607735,-0.0024767961922269517
123,-0.0011174009770957031,-0.0025601389066707294
124,-0.0011258532170966978,-0.002643514231776887
125,-0.001134117388648027,-0.0027269221661227385
126,-0.0011421934358386446,-0.0028103627083980983
127,-0.001150081302804765,-0.0028938358573976884
128,-0.0011577809337265247,-0.002977341612011043
129,-0.0011652922728241089,-0.003060879971216612
130,-0.0011726152643549486,-0.003144450934074474
131,-0.0011797498526105953,-0.003228054499718232
132,-0.001186695981913918,-0.003311690667352204
133,-0.0011934535966169608,-0.0033953594362423766
134,-0.0012000226410982357,-0.0034790608057138966
135,-0.001206403059761027,-0.0035627947751458388
136,-0.001212594797031138,-0.003646561343966925
137,-0.0012185977973551776,-0.003730360511650562
138,-0.0012244120051990571,-0.0038141922777125844
139,-0.001230037365046221,-0.003898056641707839
140,-0.0012354738213964885,-0.003981953603225988
141,-0.0012407213187645462,-0.004065883161889955
142,-0.0012457798016790155,-0.004149845317352378
143,-0.0012506492146811099,-0.0042338400692939855
144,-0.0012553295023237045,-0.004317867417420786
145,-0.001259820609170579,-0.004401927361462175
146,-0.0012641224797952412,-0.004486019901169223
147,-0.0012682350587805025,-0.004570145036312398
148,-0.0012721582907174326,-0.004654302766681957
149,-0.0012758921202049131,-0.004738493092083258
150,-0.0012794364918489415,-0.004822716012338096
151,-0.0012827913502619556,-0.004906971527282151
152,-0.0012859566400626392,-0.004991259636764202
153,-0.0012889323058750174,-0.005075580340645634
154,-0.001291718292328339,-0.0051599336387985585
155,-0.001294314544056505,-0.005244319531104904
156,-0.001296721005697821,-0.005328738017457223
157,-0.0012989376218945758,-0.005413189097754808
158,-0.0013009643372925719,-0.005497672771906739
159,-0.0013028010965412456,-0.005582189039828738
160,-0.0013044478442928793,-0.00566673790144261
161,-0.0013059045252028227,-0.0057513193566776765
162,-0.0013071710839290176,-0.005835933405467787
163,-0.0013082474651317105,-0.005920580047752869
164,-0.0013091336134735368,-0.006005259283476982
165,-0.0013098294736190418,-0.006089971112589605
166,-0.0013103349902348275,-0.006174715535042769
167,-0.0013106501079890962,-0.006259492550794176
168,-0.0013107747715517233,-0.0063443021598032275
169,-0.0013107089255940522,-0.006429144362033739
170,-0.0013104525147887578,-0.0065140191574518036
171,-0.0013100054838098083,-0.0065989265460266065
172,-0.0013093677773321948,-0.006683866527729548
173,-0.0013085393400322138,-0.006768839102533715
174,-0.001307520116586924,-0.006853844270416355
175,-0.0013063100516742517,-0.006938882031353939
176,-0.001304909089973245,-0.007023952385326722
177,-0.001303317176163379,-0.007109055332315706
178,-0.0013015342549249267,-0.007194190872303749
179,-0.0012995602709389288,-0.007279359005274448
180,-0.0012973951688868765,-0.007364559731213936
181,1.1875740634554715e-06,-4.2640190123413505e-05
182,1.1401772291501321e-06,-3.398715889217015e-05
183,1.0891127466130282e-06,-2.668159349826947e-05
