stratum,measurement,observed,missing,minimum_s,median_s,p95_s,maximum_s
interior_pair,qualification_algorithm,288,0,0.012762625003233552,0.01662027050042525,0.02088263148325495,0.03648791601881385
interior_pair,qualification_worker,288,0,0.029162834049202502,0.03728081245208159,0.047883547807577975,0.0702250829199329
interior_pair,candidate_policy,192,0,0.05901737499516457,0.06596464558970183,0.08611149188363924,0.09526687499601394
interior_pair,complete_episode,192,0,0.15121545805595815,0.1713329374906607,0.23598917294293642,0.2677486250177026
interior_pair,episode_worker,192,0,0.1538323750719428,0.17414320854004472,0.240392603946384,0.2721968749538064
interior_pair,predictive_setup_s,192,0,0.0429736248916015,0.05085850053001195,0.07087669835309497,0.10411333304364234
interior_pair,predictive_policy_wall_s,192,0,1.5166006051003933e-05,1.9916973542422056e-05,2.9033893952146152e-05,0.00014391692820936441
interior_pair,barrier_setup_s,192,0,0.004556250059977174,0.005369749502278864,0.007788814097875728,0.01338495803065598
interior_pair,barrier_policy_wall_s,192,0,4.707952030003071e-06,5.666515789926052e-06,1.1024880222976204e-05,2.8250040486454964e-05
radial_boundary,qualification_algorithm,288,0,0.014361458946950734,0.01735031296266243,0.03958089194493368,0.05598945799283683
radial_boundary,qualification_worker,288,0,0.03235487500205636,0.03874685399932787,0.06142965450999327,0.09201050002593547
radial_boundary,candidate_policy,192,0,0.03890383301768452,0.06917379202786833,0.21742027748841788,0.6233874160097912
radial_boundary,complete_episode,192,0,0.14522966591175646,0.1808603959507309,0.3620734518975948,0.7558996659936383
radial_boundary,episode_worker,192,0,0.14765533397439867,0.1842849170207046,0.36525930811767443,0.7585312500596046
radial_boundary,predictive_setup_s,192,0,0.04171699995640665,0.05059072945732623,0.07115428333636373,0.08875362505204976
radial_boundary,predictive_policy_wall_s,192,0,1.4999997802078724e-05,1.9437982700765133e-05,2.9600289417430744e-05,0.00010329193901270628
radial_boundary,barrier_setup_s,192,0,0.004195624962449074,0.005595145979896188,0.008471333055058494,0.015970583073794842
radial_boundary,barrier_policy_wall_s,192,0,4.792003892362118e-06,5.541020072996616e-06,1.0714406380429861e-05,6.170908454805613e-05
three_face_boundary,qualification_algorithm,288,0,0.0219642500160262,0.027696395525708795,0.052930274495156485,0.0717158749466762
three_face_boundary,qualification_worker,288,0,0.04899466596543789,0.05915164545876905,0.087201383971842,0.10708037507720292
three_face_boundary,candidate_policy,192,0,0.04425966599956155,0.08282937499461696,0.3229826688941102,0.36721208307426423
three_face_boundary,complete_episode,192,0,0.26439712499268353,0.2992224579793401,0.912644365109736,1.352326957974583
three_face_boundary,episode_worker,192,0,0.26741383294574916,0.3026416459470056,0.9159685293969232,1.355343500035815
three_face_boundary,predictive_setup_s,192,0,0.04802283295430243,0.05587250005919486,0.06417348534450866,0.0889806249178946
three_face_boundary,predictive_policy_wall_s,192,0,1.666706521064043e-05,2.1915999241173267e-05,3.085638745687901e-05,0.00010316597763448954
three_face_boundary,barrier_setup_s,192,0,0.004829250043258071,0.006465375481639057,0.008515816170256584,0.011137916939333081
three_face_boundary,barrier_policy_wall_s,192,0,5.041947588324547e-06,6.708025466650724e-06,9.893433889374137e-06,0.0014831660082563758
timing_bounded_pair,qualification_algorithm,288,0,0.03436995798256248,0.04375072900438681,0.05289286077604629,0.06476149999070913
timing_bounded_pair,qualification_worker,288,0,0.047966458019800484,0.09117960394360125,0.10984994196915067,0.167967583052814
timing_bounded_pair,candidate_policy,192,0,0.5063048339216039,0.5751206874847412,0.693145625136094,6.330568124889396
timing_bounded_pair,complete_episode,192,0,0.7026147920405492,0.7976045830291696,0.9822923603758681,11.664707708056085
timing_bounded_pair,episode_worker,192,0,0.705408624955453,0.800741687475238,0.9857794563693459,11.668600667035207
timing_bounded_pair,predictive_setup_s,192,0,0.04328579211141914,0.05445862497435883,0.06815625611925497,0.09427770809270442
timing_bounded_pair,predictive_policy_wall_s,192,0,1.4791963621973991e-05,2.095848321914673e-05,2.8949714032933115e-05,7.729209028184414e-05
timing_bounded_pair,barrier_setup_s,192,0,0.004474958055652678,0.006457999930717051,0.009100235748337581,0.012086458969861269
timing_bounded_pair,barrier_policy_wall_s,192,0,4.958012141287327e-06,6.020534783601761e-06,9.916810085996975e-06,2.7499976567924023e-05
