stratum,index,case_id,candidate_status,delivered_verified_diagnostic,policy_wall_s,episode_wall_s,action,mean_shortcut,pairwise_admission,predictive_status,barrier_status,failure_reason
three_face_boundary,7,ddc0670cc9f07c06d31c37f0ee8cd57d25dfba19ced25f8a746f91e27ef46644,unresolved,0,0.3099315840518102,0.6956118339439854,,confirmed_false_safe,False,uncertified_information_or_terminal_bound,uncertified_information,
three_face_boundary,15,ee95c84a4754e3fce0086340af379f5c65eda271c10779355e3b76781f83104d,unresolved,0,0.32206375000532717,0.7442780419951305,,confirmed_false_safe,True,uncertified_information_or_terminal_bound,uncertified_information,
three_face_boundary,24,7e1f80d37e8f481f11f2d01cadb34ae9b3393950338e4ef469c2959fbc749fc9,unresolved,0,0.3079361250856891,0.8516769579146057,,confirmed_false_safe,False,uncertified_information_or_terminal_bound,uncertified_information,
three_face_boundary,57,f87172af70ee8c56f3518103ff2a36fd4a46977020cea7e61c87a07c56ab29cd,unresolved,0,0.30514641699846834,0.8262399169616401,,confirmed_false_safe,False,uncertified_information_or_terminal_bound,uncertified_information,
three_face_boundary,93,66c7041b16c979173a9dfa1c436091d8d5b576372a7de49d5ea0808485d17635,unresolved,0,0.3309136659372598,0.9053707499988377,,confirmed_false_safe,False,uncertified_information_or_terminal_bound,uncertified_information,
three_face_boundary,103,cbfbd54ad335881a2d159630c969d2f29327db6ab1aa263c8a446c6f8691a827,unresolved,0,0.3308300410863012,0.7857244580518454,,confirmed_false_safe,True,uncertified_information_or_terminal_bound,uncertified_information,
three_face_boundary,145,2de473a4f18979655f419e973a7c65458e024ab512f0e45f8b23822d6bacb2e3,unresolved,0,0.3175596660003066,0.7732205420034006,,confirmed_false_safe,True,uncertified_information_or_terminal_bound,uncertified_information,
three_face_boundary,148,aef17911c778a232b659f40fc2a09a8fab93459f3665f299923cb5fefcdc8dda,unresolved,0,0.3364597080508247,0.782535208039917,,confirmed_false_safe,True,uncertified_information_or_terminal_bound,uncertified_information,
three_face_boundary,182,781a08f8b4af6362c4eb9c1cbc919836fbf9b5e298dde3669af14b683bba37ff,unresolved,0,0.33635174995288253,0.8436570840422064,,confirmed_false_safe,True,uncertified_information_or_terminal_bound,uncertified_information,
timing_bounded_pair,95,23ce5d6c4bf14f18dab4a0028c1db4fcd4355a47328ef87a8b4c843a8047fbd2,unresolved_budget,0,4.461740875034593,8.537499374942854,,unresolved,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
timing_bounded_pair,174,51a2e8bd5fb77e8be4e219ccce63aa87f17babe284c8430b9a587db868b3684c,unresolved_budget,0,3.8211996249156073,7.308688209042884,,unresolved,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
timing_bounded_pair,189,278c288e1327ca2191d9e2f63114ff3d15d6069d203ffa9959132c08fd80ac99,unresolved_budget,0,6.330568124889396,11.664707708056085,,unresolved,not_applicable,uncertified_information_or_terminal_bound,uncertified_information,
