time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
23.25,-0.00021855157499364513,-0.000218551570649224,-25.022371640743724,-25.02237164074224,-5.621702211590819e-06,-5.621701844716933e-06,0.05272777346765373,0.05272777346766841
23.5,-0.00021990997063782474,-0.00021990996620120217,-25.00926948209089,-25.009269482089387,-5.305640346460448e-06,-5.305639975723778e-06,0.05208949572527116,0.05208949572528608
23.75,-0.00022123448386988064,-0.00022123447934009092,-24.99632689288749,-24.99632689288597,-5.350642916309952e-06,-5.350642541710334e-06,0.05145121790622174,0.0514512179062369
24.0,-0.00022261538079859067,-0.00022261537617466806,-24.98354387312716,-24.983543873125623,-5.75670991658841e-06,-5.756709538125674e-06,0.050812940214753584,0.05081294021476899
24.25,-0.00022396388379692818,-0.00022396387907790686,-24.97091953743329,-24.970919537431733,-5.090823702430488e-06,-5.090823320104464e-06,0.050181745273506495,0.05018174527352214
24.5,-0.00022519054746782206,-0.0002251905426527362,-24.958453000513398,-24.958453000511824,-4.781995303440718e-06,-4.78199491725124e-06,0.049550550056569505,0.0495505500565854
24.75,-0.00022638463626868197,-0.00022638463135656568,-24.94614426241116,-24.946144262409568,-4.830224743799435e-06,-4.8302243537463305e-06,0.048919354765924274,0.04891935476594042
25.0,-0.00022763541465929454,-0.0002276354096491819,-24.933993323119758,-24.93399332311815,-5.23551201834234e-06,-5.235511624425433e-06,0.04828815960355247,0.048288159603568866
25.25,-0.00022885514068172997,-0.000228855135572655,-24.921999297418726,-24.9219992974171,-4.581138145392706e-06,-4.58113774761183e-06,0.047664045943066995,0.04766404594308364
25.5,-0.00022995540472599548,-0.00022995539951699216,-24.910161300170763,-24.91016130016912,-4.279816199259214e-06,-4.2798157976141875e-06,0.04703993201227092,0.04703993201228782
25.75,-0.0002310244697772612,-0.0002310244644673635,-24.898479331418486,-24.898479331416823,-4.331546202963389e-06,-4.331545797454038e-06,0.04641581801087985,0.04641581801089701
26.0,-0.00023215059882296496,-0.00023215059341120676,-24.886953391154577,-24.886953391152897,-4.7363281516251374e-06,-4.736327742251282e-06,0.04579170413860938,0.0457917041386268
26.25,-0.00023324707110793598,-0.00023324706559335116,-24.875582594262777,-24.87558259426108,-4.0936245428700735e-06,-4.093624129631538e-06,0.04517467093525499,0.04517467093527267
26.5,-0.00023422649830351805,-0.00023422649268514038,-24.864366055709034,-24.86436605570732,-3.7999674426622357e-06,-3.799967025558838e-06,0.04455763746705878,0.04455763746707673
26.75,-0.0002351761420403384,-0.00023517613631720164,-24.85330377553488,-24.853303775533142,-3.8553568742712145e-06,-3.855356453302766e-06,0.04394060393147054,0.04394060393148876
27.0,-0.0002361832639512935,-0.00023618325812243136,-24.842395753732475,-24.84239575373072,-4.259792832581431e-06,-4.2597924077477365e-06,0.04332357052594009,0.04332357052595858
27.25,-0.0002371621537390203,-0.00023716214780346645,-24.831641105246813,-24.83164110524504,-3.62883236058322e-06,-3.6288319318840955e-06,0.04271361729993022,0.042713617299948985
27.5,-0.0002380264335790342,-0.00023802642753582224,-24.821038945104135,-24.821038945102345,-3.3429132568984614e-06,-3.342912824333727e-06,0.04210366381458861,0.04210366381460765
27.75,-0.00023886236381668528,-0.0002388623576648488,-24.810589273344878,-24.81058927334307,-3.402035543100825e-06,-3.4020351066702833e-06,0.04149371026509941,0.04149371026511873
28.0,-0.0002397562047994095,-0.00023975619853798205,-24.800292089960678,-24.80029208995885,-3.8061992143032547e-06,-3.8061987740067077e-06,0.04088375684664679,0.04088375684666638
28.25,-0.00024062324748730932,-0.00024062324111532435,-24.79014650992261,-24.790146509920763,-3.186981676498046e-06,-3.186981232335308e-06,0.04028088339957721,0.04028088339959709
28.5,-0.00024137811533315114,-0.0002413781088496421,-24.780151648282057,-24.78015164828019,-2.908800483731391e-06,-2.9088000357022617e-06,0.03967800969868588,0.039678009698706045
28.75,-0.00024210606742648854,-0.00024210606083048877,-24.770307505078357,-24.77030750507647,-2.971655657807497e-06,-2.9716552059117754e-06,0.03907513593689138,0.03907513593691183
29.0,-0.00024289236285895803,-0.00024289235614950087,-24.760614080302624,-24.760614080300716,-3.3755471935862206e-06,-3.3755467378237155e-06,0.0384722623071123,0.038472262307133034
29.25,-0.00024365328764138755,-0.0002436532808175063,-24.751070488923414,-24.751070488921485,-2.768022947764692e-06,-2.7680224881352016e-06,0.03787646866935195,0.03787646866937297
29.5,-0.00024430446027548546,-0.0002443044533362132,-24.74167584598866,-24.74167584598671,-2.497530012697326e-06,-2.4975295492006457e-06,0.03728067478325176,0.03728067478327307
29.75,-0.00024493013859207724,-0.0002449301315364472,-24.73243015153661,-24.73243015153464,-2.5640684089859594e-06,-2.5640679416218986e-06,0.03668488083946473,0.03668488083948633
30.0,-0.00024561458042389087,-0.00024561457325093615,-24.72333340555786,-24.72333340555587,-2.9676381312492984e-06,-2.9676376600176454e-06,0.03608908702864386,0.036089087028665756
30.25,-0.00024627505925666805,-0.0002462750519654217,-24.714384722995568,-24.71438472299356,-2.3716968879924125e-06,-2.3716964128929614e-06,0.03550037341354693,0.035500373413569125
30.5,-0.0002468281810480474,-0.00024682817363754254,-24.705583218871343,-24.705583218869315,-2.108781805705004e-06,-2.108781326737548e-06,0.03491165955552965,0.034911659555552144
30.75,-0.00024735720234137507,-0.0002473571948106446,-24.696928893222363,-24.696928893220313,-2.1788929047762634e-06,-2.1788924219405974e-06,0.034322945642979365,0.034322945643002166
31.0,-0.00024794537968178597,-0.0002479453720298628,-24.688421746038713,-24.688421746036642,-2.5820301791286274e-06,-2.5820296924245335e-06,0.03373423186428344,0.033734231864306546
31.25,-0.0002485109711897208,-0.0002485109634156378,-24.680060892219878,-24.68006089221779,-1.9975386834855817e-06,-1.997538192912848e-06,0.03315259863134776,0.03315259863137117
31.5,-0.0002489715674246779,-0.00024897155952746794,-24.67184544674285,-24.671845446740743,-1.7420680008206735e-06,-1.7420675063790929e-06,0.032570965160835776,0.03257096516085949
31.75,-0.0002494094235929763,-0.0002494094155716721,-24.663775409643762,-24.663775409641634,-1.8156181513424551e-06,-1.8156176530318133e-06,0.031989331638869085,0.031989331638893115
32.0,-0.0002499067949026183,-0.0002499067867562526,-24.655850780912207,-24.65585078091006,-2.218189128309162e-06,-2.2181886261292397e-06,0.031407698251569284,0.031407698251593626
