time_s,ax_mps2,ay_mps2
0,-0.015,0.0
1,-0.0012004006466381377,0.009227323598251642
2,-0.001208155135445461,0.00911109590535388
3,-0.0012155100163238504,0.008996572096617061
4,-0.0012224893633846301,0.008883516675661295
5,-0.0012291139153587794,0.008771725693893387
6,-0.0012354015237277432,0.008661022638672838
7,-0.0012413675417529545,0.00855125484886183
8,-0.0012470251621133066,0.008442290390769514
9,-0.0012523857098612244,0.008334015335962217
10,-0.0012574588965371225,0.008226331389806253
11,-0.0012622530405254698,0.008119153826067857
12,-0.0012667752580751597,0.008012409688551556
13,-0.0012710316288323284,0.007906036225686227
14,-0.0012750273392337363,0.007799979528303143
15,-0.0012787668066729522,0.007694193344593787
16,-0.0012822537869720827,0.007588638049563652
17,-0.0012854914673620854,0.007483279749157347
18,-0.001288482546886837,0.007378089501754973
19,-0.0012912293058963786,0.00727304264194134
20,-0.0012937336660761066,0.007168118193367006
21,-0.0012959972422708756,0.007063298359200686
22,-0.001298021387195926,0.0069585680801429765
23,-0.0012998072299852045,0.006853914651242257
24,-0.0013013557094013082,0.006749327389884353
25,-0.0013026676024235858,0.006644797348294062
26,-0.0013037435488361159,0.006540317064746675
27,-0.0013045840723554677,0.006435880348430029
28,-0.001305189598766719,0.0063314820935434874
29,-0.0013055604714735855,0.006227118118796559
30,-0.0013056969648158985,0.006122785028958067
31,-0.001305599295459061,0.00601848009553741
32,-0.0013052676321209297,0.005914201154068581
33,-0.0013047021038655414,0.0058099465157766955
34,-0.001303902807161817,0.005705714891717183
35,-0.0013028698118799464,0.005601505327701106
36,-0.001301603166374067,0.0054973171485670005
37,-0.0013001029017797152,0.0053931499105289455
38,-0.0012983690356379485,0.005289003360497333
39,-0.0012964015749419037,0.00518487740142935
40,-0.0012942005186887453,0.0050807720628709375
41,-0.0012917658600091336,0.004976687475981281
42,-0.0012890975879357972,0.0048726238524073665
43,-0.0012861956888644468,0.0047685814664748544
44,-0.0012830601477529888,0.004664560640222479
45,-0.0012796909490985604,0.004560561730880061
46,-0.0012760880777263773,0.0044565851204334305
