time_s,x_m_lo,x_m_hi,y_m_lo,y_m_hi,vx_mps_lo,vx_mps_hi,vy_mps_lo,vy_mps_hi
75.0,0.2578234956082669,0.25782349565607576,-40.63185899926567,-40.63185899924397,0.004742387908040738,0.004742387909392735,0.8146803941761173,0.8146803941763815
75.25,0.2590374599237412,0.25903745997188893,-40.42879154043508,-40.42879154041328,0.004968872270129074,0.004968872271486058,0.8098592551156611,0.8098592551159266
75.5,0.2603169224934453,0.26031692254193317,-40.22694864672149,-40.2269486466996,0.005266359409631105,0.005266359410993558,0.804883866545897,0.8048838665461637
75.75,0.2616301507789078,0.26163015082773716,-40.026375381798175,-40.02637538177619,0.005238978558824394,0.005238978560191834,0.7997022554222089,0.7997022554224767
76.0,0.262990396841565,0.2629903968907371,-39.82704879467692,-39.82704879465484,0.005642538381427535,0.005642538382799964,0.794910403500086,0.7949104035003551
76.25,0.2644246240816348,0.26442462413115086,-39.62896465315734,-39.62896465313517,0.005830794441108282,0.0058307944424857,0.7897627109077574,0.7897627109080277
76.5,0.2659308951769079,0.26593089522676916,-39.43215301300361,-39.43215301298134,0.006218900110355385,0.006218900111737793,0.7847303737314185,0.7847303737316901
76.75,0.2675337213163115,0.2675337213665192,-39.236604261109775,-39.23660426108741,0.006603231186272125,0.0066032311876595235,0.7796596051844031,0.7796596051846759
77.0,0.26920906695268026,0.26920906700323566,-39.04234002391679,-39.042340023894326,0.006799043411032244,0.006799043412424635,0.7744542738982858,0.7744542738985598
77.25,0.2709480022127836,0.2709480022636879,-38.84932375707666,-38.849323757054094,0.007111988433628791,0.0071119884350261744,0.7696758313182831,0.7696758313185584
77.5,0.2727459659499581,0.27274596600121265,-38.657525650183025,-38.65752565016036,0.0072712534764843625,0.00727125347788722,0.7647090088153213,0.7647090088155979
77.75,0.27460127456878014,0.27460127462038625,-38.46694894397447,-38.46694894395171,0.007570762809628368,0.00757076281103622,0.7599046126153223,0.7599046126156002
78.0,0.2765252215329311,0.27652522158488996,-38.27757936804838,-38.27757936802552,0.007820355701519413,0.007820355702932264,0.7550519712617594,0.7550519712620385
78.25,0.2785035462858241,0.278503546338137,-38.08946320004336,-38.089463200020404,0.00800575477232258,0.00800575477374043,0.7498773552989624,0.7498773552992427
78.5,0.28051597292484287,0.28051597297751113,-37.90262238793985,-37.90262238791679,0.008093184598087083,0.008093184599509933,0.7448491332863327,0.7448491332866144
78.75,0.28254912469430643,0.28254912474733124,-37.71703340286832,-37.71703340284516,0.008171559762824293,0.008171559764252143,0.7398627398968095,0.7398627398970925
79.0,0.2845995239796743,0.28459952403305694,-37.53270455567525,-37.532704555651996,0.008231154516134128,0.00823115451756698,0.7347680320291744,0.7347680320294586
79.25,0.28666581264573454,0.2866658126994762,-37.349627889764164,-37.34962788974081,0.008298691023837415,0.008298691025275268,0.7298452888922881,0.7298452888925735
79.5,0.2887766677600543,0.2887766678141563,-37.16779884169774,-37.16779884167428,0.008587673336462008,0.008587673337904864,0.7247870683938317,0.7247870683941183
79.75,0.29094428276342643,0.29094428281789003,-36.98723106755166,-36.98723106752811,0.00875277262127138,0.008752772622719241,0.7197551092092244,0.7197551092095124
80.0,0.29316924171311515,0.29316924176794157,-36.80791491231057,-36.80791491228692,0.009046429720237906,0.009046429721690771,0.7147741050334482,0.7147741050337375
80.25,0.29543516503015244,0.2954351650853429,-36.629839200809336,-36.62983920078558,0.009080491194805694,0.009080491196263566,0.7098315837652088,0.7098315837654995
80.5,0.29772862218733276,0.29772862224288854,-36.45298687154847,-36.45298687152461,0.009266709682480459,0.009266709683943337,0.7049870327650916,0.7049870327653834
80.75,0.30008021460804835,0.3000802146639707,-36.27735006799935,-36.27735006797539,0.009545570001972198,0.009545570003440085,0.7001073693368609,0.700107369337154
81.0,0.3024812484909983,0.3024812485472885,-36.10293838446661,-36.10293838444255,0.009662237464500822,0.009662237465973717,0.6951860879256868,0.6951860879259811
81.25,0.30492883627445766,0.3049288363311169,-35.92974588402398,-35.92974588399982,0.009918009612480074,0.009918009613957977,0.6903538915011309,0.6903538915014266
81.5,0.30739912405444947,0.307399124111479,-35.75777251631498,-35.757772516290714,0.009843829083562456,0.009843829085045368,0.6854330571647774,0.6854330571650744
81.75,0.3098862387455958,0.3098862388029969,-35.58704457423966,-35.58704457421529,0.010052613424520133,0.010052613426008057,0.6803904597535694,0.6803904597538676
82.0,0.3124228843043487,0.31242288436212273,-35.41754885033994,-35.41754885031547,0.010240097476588626,0.010240097478081562,0.6755753137681986,0.6755753137684981
82.25,0.3149833671406933,0.3149833671988414,-35.24927431027353,-35.24927431024896,0.01024329852886235,0.010243298530360299,0.6706210064613994,0.6706210064617002
82.5,0.31752246443716203,0.31752246449568544,-35.0822416756006,-35.08224167557592,0.010069010645186314,0.010069010646689277,0.6656400873540916,0.6656400873543936
82.75,0.3200356716133158,0.3200356716722158,-34.91647871925257,-34.91647871922779,0.010036159120763517,0.010036159122271493,0.6604635665275297,0.6604635665278329
83.0,0.3225343856145089,0.3225343856737867,-34.75197758664168,-34.7519775866168,0.009953089610605004,0.009953089612117995,0.6555455021914989,0.6555455021918034
83.25,0.3250124647922323,0.32501246485188917,-34.58871159741857,-34.58871159739359,0.009871076285333536,0.009871076286851542,0.6505824193257382,0.650582419326044
83.5,0.32748072469337763,0.3274807247534149,-34.426672190724126,-34.42667219069904,0.009874546097013534,0.009874546098536555,0.6457328339028439,0.6457328339031508
83.75,0.3299764836000015,0.3299764836604203,-34.265842470003335,-34.26584246997814,0.010091070375959604,0.010091070377487642,0.6409049114495547,0.6409049114498631
